Date,Audiences,MovieID
20100514,88457,20090951
20100515,210282,20090951
20100516,178625,20090951
20100517,50815,20090951
20100518,57069,20090951
20100519,49823,20090951
20100520,59433,20090951
20100521,170984,20090951
20100522,162134,20090951
20100523,141122,20090951
20100524,30385,20090951
20100525,30633,20090951
20100526,28120,20090951
20100527,16786,20090951
20100528,20370,20090951
20100529,53515,20090951
20100530,45643,20090951
20100531,13588,20090951
20100601,15536,20090951
20100602,20237,20090951
20100603,4629,20090951
20100604,6084,20090951
20100605,15063,20090951
20100606,13550,20090951
20100607,3944,20090951
20100608,3767,20090951
20100609,4110,20090951
20100610,310,20090951
20100611,337,20090951
20100612,521,20090951
20100613,536,20090951
20100614,331,20090951
20100615,274,20090951
20140903,143617,20135656
20140904,126259,20135656
20140905,165711,20135656
20140906,261028,20135656
20140907,196343,20135656
20140908,207991,20135656
20140909,245330,20135656
20140910,165398,20135656
20140911,55746,20135656
20140912,58234,20135656
20140913,92975,20135656
20140914,73994,20135656
20140915,27772,20135656
20140916,24952,20135656
20140917,23078,20135656
20140918,10838,20135656
20140919,12424,20135656
20140920,18131,20135656
20140921,15100,20135656
20140922,6320,20135656
20140923,5965,20135656
20140924,8047,20135656
20140925,3348,20135656
20140926,3392,20135656
20140927,6085,20135656
20140928,5612,20135656
20140929,2972,20135656
20140930,2536,20135656
20141001,2241,20135656
20141002,78,20135656
20141003,99,20135656
20141004,94,20135656
20141005,61,20135656
20141006,16,20135656
20141007,47,20135656
20111012,63863,20112173
20111013,65095,20112173
20111014,105287,20112173
20111015,259728,20112173
20111016,235014,20112173
20111017,60606,20112173
20111018,61546,20112173
20111019,60336,20112173
20111020,53089,20112173
20111021,92882,20112173
20111022,225446,20112173
20111023,183786,20112173
20111024,51173,20112173
20111025,45189,20112173
20111026,46658,20112173
20111027,43178,20112173
20111028,60302,20112173
20111029,171667,20112173
20111030,163386,20112173
20111031,40978,20112173
20111101,38041,20112173
20111102,31872,20112173
20111103,30309,20112173
20111104,41909,20112173
20111105,130906,20112173
20111106,129318,20112173
20111107,26673,20112173
20111108,24826,20112173
20111109,32440,20112173
20111110,38479,20112173
20111111,43116,20112173
20111112,96621,20112173
20111113,84610,20112173
20111114,23686,20112173
20111115,24481,20112173
20111116,24043,20112173
20111117,19724,20112173
20111118,29054,20112173
20111119,81861,20112173
20111120,72208,20112173
20111121,20854,20112173
20111122,20712,20112173
20111123,21243,20112173
20111124,18607,20112173
20111125,27755,20112173
20111126,52493,20112173
20111127,44869,20112173
20111128,18502,20112173
20111129,17811,20112173
20111130,12114,20112173
20111201,8354,20112173
20111202,11424,20112173
20111203,27600,20112173
20111204,21669,20112173
20111205,6615,20112173
20111206,6743,20112173
20111207,3645,20112173
20111208,3302,20112173
20111209,5692,20112173
20111210,10457,20112173
20111211,8217,20112173
20111212,2799,20112173
20111213,3290,20112173
20111214,3168,20112173
20111215,1038,20112173
20111216,783,20112173
20111217,691,20112173
20111218,776,20112173
20111219,417,20112173
20111220,493,20112173
20111221,5,20112173
20050714,52999,20050140
20050715,63442,20050140
20050716,168976,20050140
20050717,180424,20050140
20050718,45681,20050140
20050719,50923,20050140
20050720,51667,20050140
20050721,41098,20050140
20050722,47705,20050140
20050723,119849,20050140
20050724,106739,20050140
20050725,36916,20050140
20050726,41226,20050140
20050727,40190,20050140
20050728,21227,20050140
20050729,25599,20050140
20050730,39846,20050140
20050731,33444,20050140
20050801,30960,20050140
20050802,35203,20050140
20050803,23363,20050140
20050804,16439,20050140
20050805,14785,20050140
20050806,23476,20050140
20050807,20623,20050140
20050808,7787,20050140
20050809,8586,20050140
20050810,7766,20050140
20050811,2757,20050140
20050812,2844,20050140
20050813,5862,20050140
20050814,4860,20050140
20050815,6596,20050140
20050816,2040,20050140
20050817,2145,20050140
20050818,398,20050140
20050819,477,20050140
20050820,1332,20050140
20050821,1106,20050140
20050822,138,20050140
20050823,184,20050140
20050824,291,20050140
20090108,63283,20081791
20090109,51738,20081791
20090110,172694,20081791
20090111,157643,20081791
20090112,27745,20081791
20090113,33588,20081791
20090114,31969,20081791
20090115,29477,20081791
20090116,35236,20081791
20090117,119570,20081791
20090118,108360,20081791
20090119,20096,20081791
20090120,24802,20081791
20090121,23887,20081791
20090122,14245,20081791
20090123,13534,20081791
20090124,41378,20081791
20090125,28248,20081791
20090126,34700,20081791
20090127,61525,20081791
20090128,18208,20081791
20090129,8441,20081791
20090130,7805,20081791
20090131,33030,20081791
20090201,27395,20081791
20090202,3744,20081791
20090203,4242,20081791
20090204,3958,20081791
20090205,1797,20081791
20090206,2304,20081791
20090207,8094,20081791
20090208,10946,20081791
20090209,780,20081791
20090210,1823,20081791
20090211,1304,20081791
20090212,529,20081791
20090213,487,20081791
20090214,482,20081791
20090215,436,20081791
20090216,55,20081791
20090217,157,20081791
20090218,67,20081791
20090219,45,20081791
20090220,42,20081791
20090221,55,20081791
20090222,45,20081791
20090223,3,20081791
20090224,6,20081791
20090225,24,20081791
20090226,26,20081791
20090227,19,20081791
20090228,63,20081791
20090301,38,20081791
20120606,226836,20124136
20120607,13719,20124136
20120608,17301,20124136
20120609,160850,20124136
20120610,177425,20124136
20120611,11978,20124136
20120612,12864,20124136
20120613,14747,20124136
20120614,13775,20124136
20120615,22089,20124136
20120616,145177,20124136
20120617,145021,20124136
20120618,12891,20124136
20120619,13575,20124136
20120620,15163,20124136
20120621,13205,20124136
20120622,18927,20124136
20120623,98606,20124136
20120624,102093,20124136
20120625,12769,20124136
20120626,13176,20124136
20120627,15139,20124136
20120628,5577,20124136
20120629,7486,20124136
20120630,59287,20124136
20120701,54273,20124136
20120702,4335,20124136
20120703,5317,20124136
20120704,6227,20124136
20120705,2726,20124136
20120706,3824,20124136
20120707,40087,20124136
20120708,39339,20124136
20120709,1422,20124136
20120710,1993,20124136
20120711,2172,20124136
20120712,1538,20124136
20120713,1950,20124136
20120714,25360,20124136
20120715,26929,20124136
20120716,869,20124136
20120717,1283,20124136
20120718,1387,20124136
20120719,254,20124136
20120720,727,20124136
20120721,5264,20124136
20120722,5443,20124136
20120723,563,20124136
20120724,1046,20124136
20120725,120,20124136
20141231,145138,20149859
20150101,212779,20149859
20150102,155954,20149859
20150103,179677,20149859
20150104,162478,20149859
20150105,52448,20149859
20150106,58338,20149859
20150107,47816,20149859
20150108,51453,20149859
20150109,51288,20149859
20150110,125434,20149859
20150111,124819,20149859
20150112,29038,20149859
20150113,34300,20149859
20150114,18543,20149859
20150115,18920,20149859
20150116,18282,20149859
20150117,50301,20149859
20150118,50315,20149859
20150119,10611,20149859
20150120,13703,20149859
20150121,4780,20149859
20150122,4560,20149859
20150123,3802,20149859
20150124,8971,20149859
20150125,9282,20149859
20150126,1702,20149859
20150127,1884,20149859
20150128,1281,20149859
20150129,1392,20149859
20150130,1299,20149859
20150131,2395,20149859
20150201,2280,20149859
20150202,221,20149859
20150203,602,20149859
20150204,490,20149859
20150205,286,20149859
20110728,46338,20110279
20110729,54459,20110279
20110730,93714,20110279
20110731,82639,20110279
20110801,78362,20110279
20110802,83317,20110279
20110803,71720,20110279
20110804,62630,20110279
20110805,59993,20110279
20110806,97350,20110279
20110807,98562,20110279
20110808,34242,20110279
20110809,45298,20110279
20110810,41156,20110279
20110811,38062,20110279
20110812,40895,20110279
20110813,103389,20110279
20110814,99071,20110279
20110815,126959,20110279
20110816,32857,20110279
20110817,28831,20110279
20110818,29818,20110279
20110819,30007,20110279
20110820,88178,20110279
20110821,81400,20110279
20110822,20217,20110279
20110823,24055,20110279
20110824,20618,20110279
20110825,16198,20110279
20110826,16455,20110279
20110827,64924,20110279
20110828,56987,20110279
20110829,7092,20110279
20110830,7418,20110279
20110831,7112,20110279
20110901,4595,20110279
20110902,3266,20110279
20110903,24996,20110279
20110904,37550,20110279
20110905,2681,20110279
20110906,3174,20110279
20110907,2159,20110279
20110908,1204,20110279
20110909,3064,20110279
20110910,21515,20110279
20110911,15491,20110279
20110912,20577,20110279
20110913,32766,20110279
20110914,13901,20110279
20110915,906,20110279
20110916,1063,20110279
20110917,9450,20110279
20110918,14545,20110279
20110919,524,20110279
20110920,576,20110279
20110921,934,20110279
20110922,814,20110279
20110923,683,20110279
20110924,5604,20110279
20110925,5227,20110279
20110926,109,20110279
20110927,265,20110279
20110928,528,20110279
20110929,248,20110279
20110930,135,20110279
20111001,1522,20110279
20111002,3080,20110279
20111003,4643,20110279
20111004,287,20110279
20111005,283,20110279
20111006,136,20110279
20111007,131,20110279
20111008,2162,20110279
20111009,1996,20110279
20111010,40,20110279
20111011,274,20110279
20111012,206,20110279
20111013,36,20110279
20111014,27,20110279
20111015,484,20110279
20111016,789,20110279
20111017,102,20110279
20111018,138,20110279
20111019,103,20110279
20111020,23,20110279
