ActorID,BirthDate,Name,TotalAudiences
20145023,19700629,서범식,1744585
20111061,19671111,서상원,1926592
10035462,19980000,서신애,988451
20125821,19980216,서영주,7500420
20067819,19680000,서영화,5160302
10035492,19800613,서영희,15259813
20207266,19900406,서예지,8298126
10035507,19850707,서우,2267556
20237567,19810111,서우진,2192276
10035559,19820000,서재경,6436508
10035603,19661026,서주희,2701230
10035605,19870000,서준영,989906
10035635,19690807,서진원,949770
10035658,19670331,서태화,1546132
20171900,19910628,서현,1027050
20221406,19831120,서현우,1046015
10035681,19850000,서현진,2108273
10035683,19710806,서혜린(정희숙),1462972
10035745,19800321,선우선,12885296
10035749,19591224,선우은숙,2821561
10035772,19680501,설경구,44052631
20215606,19950103,설현,2192276
10035832,19670427,성동일,33345195
10035836,19540407,성룡,14913343
10035868,19810303,성유리,1346754
20202246,20000725,성유빈,1584168
10035872,19811208,성은,1188326
10035882,19681016,성지루,8116218
10035898,19750000,성현아,1030259
10036097,19820813,세바스찬 스탠,8677249
10036150,19820415,세스 로건,3984812
20115412,19920722,셀레나 고메즈,962770
10036357,19660902,셀마 헤이엑,2080445
20133997,19840609,션 리차드,7049643
10036673,19840000,소이현,1246836
10036685,19771104,소지섭,3449216
10052665,19960221,소피 터너,2938818
20120582,19820406,소피아 부텔라,1157156
10036818,19720000,손민석,5508017
10036828,19620825,손병호,22305524
20190101,19890527,손세빈,1979311
10036856,19440513,손숙,3587173
10036883,19820111,손예진,31484395
20232246,19670620,손종학,17879507
20111125,19650624,손현주,17829264
10036963,19840627,손호준,1177438
10037018,19670117,송강호,77747508
10037095,19791226,송새벽,15331018
10037116,19761005,송승헌,4823459
10037131,19580402,송영창,77185664
20166542,19730000,송요셉,4864766
10037147,19520920,송용태,1311071
20127774,19800506,송유하,2009586
10037157,19730000,송윤아,1994447
20190162,19860415,송은채,813164
10037179,19710000,송일국,1257923
20190050,19850218,송재림,4131338
10037206,19390310,송재호,13760904
20129609,19761005,송종호,4909937
10037229,19850919,송중기,9950864
20066637,19810815,송지효,11327568
10004264,19861202,송하윤,4191619
10037291,19820226,송혜교,2816284
10037383,19590417,숀 빈,1846180
10037539,19800725,수애,8973435
20188749,19850125,수현,10494499
